Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),"Energy Efficiency%

Col U(Power Output)/Col V(Power Input)","Power Consumption Ratio(W/MB)

Col  V(Power Input) / Col AC(Data Traffic Consumed(MB))
Note: Power used per input traffic.",Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),"Data Traffic Allocated (MB)","Data Throughput per Watt (MB/W)",
"DataTraffic Utilization%","Carbon Emission (kgCO₂)",Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
SADESALB903G01,cisco_ios,FCW2234C1CF,C9300-24P,10.70.100.25,Jebel Ali,45,25,20,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/5, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3171,5640,56.22,0.0348,117932931,132817671,80014.383,82015.794,162030.177,158.233,20430000,28.729,0.793099,1.2814,0.0013,,,,,,,,Successfully connected to device.
SAHEADOFFG05,cisco_ios,FCW2233L0E5,C9300-48U,10.30.100.125,Jebel Ali,134,45,89,48,"Vlan100, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/38, GigabitEthernet1/0/39, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/4, GigabitEthernet2/0/6, GigabitEthernet2/0/7, GigabitEthernet2/0/10, GigabitEthernet2/0/11, GigabitEthernet2/0/12, GigabitEthernet2/0/13, GigabitEthernet2/0/14, GigabitEthernet2/0/16, GigabitEthernet2/0/18, GigabitEthernet2/0/23, GigabitEthernet2/0/24, GigabitEthernet2/0/26, GigabitEthernet2/0/28, GigabitEthernet2/0/31, GigabitEthernet2/0/32, GigabitEthernet2/0/36, GigabitEthernet2/0/38, GigabitEthernet2/0/39, GigabitEthernet2/0/43, GigabitEthernet2/0/46, TenGigabitEthernet2/1/1, AppGigabitEthernet2/0/1, Port-channel1","2 Virtual, 104 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-1100WAC,4400,6552,11664,56.17,0.2832,44181039,41688174,21238.307,19945.88,41184.187,40.219,34389000,3.531,0.11976,2.6477,0.0026,,,,,,,,Successfully connected to device.
SAHEADOFFG01,cisco_ios,FCW2232E0U5,C9300-48U,10.30.100.28,Jebel Ali,134,46,88,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/23, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/31, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/37, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/45, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/8, GigabitEthernet2/0/23, GigabitEthernet2/0/29, GigabitEthernet2/0/33, GigabitEthernet2/0/39, GigabitEthernet2/0/40, GigabitEthernet2/0/41, GigabitEthernet2/0/42, GigabitEthernet2/0/43, GigabitEthernet2/0/45, GigabitEthernet2/0/47, GigabitEthernet2/0/48, TenGigabitEthernet2/1/1, AppGigabitEthernet2/0/1, Port-channel1","2 Virtual, 104 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-1100WAC,4400,6528,11664,55.97,0.1148,106931216,93421218,59195.911,42399.285,101595.196,99.214,36909000,8.71,0.275259,2.638,0.0026,,,,,,,,Successfully connected to device.
SACH1MAINTBLDGG02,cisco_ios,FOC2234U16S,C9300-24P,10.10.100.40,Jebel Ali,45,27,18,24,"Vlan100, Vlan110, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","3 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3144,5640,55.74,0.0825,64723144,66267169,34152.654,34252.267,68404.921,66.802,21780000,12.129,0.314072,1.2705,0.0013,,,,,,,,Successfully connected to device.
SARODBLD675G01,cisco_ios,FCW2234C1C9,C9300-24P,10.70.100.14,Jebel Ali,45,22,23,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/3, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3124,5640,55.39,0.0321,144337698,104724320,110546.712,65066.418,175613.13,171.497,12789000,31.137,1.373158,1.2624,0.0013,,,,,,,,Successfully connected to device.
PL.5004T.PL9.GF.A-ASW1,cisco_ios,FCW2236L0G6,C9300-24P,10.60.100.44,Jebel Ali,44,17,27,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3120,5640,55.32,0.1365,47350763,48715115,20590.255,20739.869,41330.125,40.361,8289000,7.328,0.498614,1.2608,0.0013,,,,,,,,Successfully connected to device.
SACH2SAWIG01,cisco_ios,FCW2234G0SK,C9300-24P,10.20.100.47,Jebel Ali,45,8,37,24,"Vlan200, GigabitEthernet1/0/4, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3118,5640,55.28,0.6698,10241755,9548353,4729.43,3691.007,8420.437,8.223,5220000,1.493,0.161311,1.26,0.0013,,,,,,,,Successfully connected to device.
SA5619G01,cisco_ios,FOC2242Z0H2,C9300-48U,10.60.100.26,Jebel Ali,68,29,39,48,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/27, GigabitEthernet1/0/29, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/36, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3216,5832,55.14,0.0825,64424883,66960767,35145.662,35539.043,70684.705,69.028,16659000,12.12,0.424303,1.2996,0.0013,,,,,,,,Successfully connected to device.
SAPWRBLD4200G01,cisco_ios,FCW2234G13T,C9300-24P,10.70.100.19,Jebel Ali,44,24,20,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3096,5640,54.89,0.1536,33605996,35530344,18257.75,18459.358,36717.109,35.857,17019000,6.51,0.215742,1.2511,0.0013,,,,,,,,Successfully connected to device.
SAFSBLDCHOFFG01,cisco_ios,FCW2236D0JA,C9300-24P,10.30.100.119,Jebel Ali,45,28,17,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/1/1, GigabitEthernet1/1/2, GigabitEthernet1/1/3, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3096,5640,54.89,0.0096,504898132,379596458,366280.317,218892.174,585172.491,571.458,20790000,103.754,2.814682,1.2511,0.0013,,,,,,,,Successfully connected to device.
SAPL21BLD531G01,cisco_ios,FCW2236G0H3,C9300-24P,10.50.100.28,Jebel Ali,44,19,25,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3072,5640,54.47,0.2928,17753712,18026843,9593.731,9670.51,19264.241,18.813,14220000,3.416,0.135473,1.2414,0.0012,,,,,,,,Successfully connected to device.
SAPL5BLD594G03,cisco_ios,FOC2236Q091,C9300-24P,10.60.100.54,Jebel Ali,44,18,26,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/18, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3048,5640,54.04,0.0276,162512143,273814547,68564.059,135419.356,203983.416,199.203,11700000,36.167,1.743448,1.2317,0.0012,,,,,,,,Successfully connected to device.
SAPL5BLD594G02,cisco_ios,FOC2236Z06T,C9300-24P,10.60.100.51,Jebel Ali,44,17,27,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/18, GigabitEthernet1/0/22, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/3, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3048,5640,54.04,0.1506,38324631,40263514,18600.536,18840.459,37440.995,36.563,12420000,6.638,0.301457,1.2317,0.0012,,,,,,,,Successfully connected to device.
PL.528.PL2.GF.A-ASW1,cisco_ios,FCW2236E08M,C9300-24P,10.60.100.36,Jebel Ali,44,13,31,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/13, GigabitEthernet1/0/21, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3048,5640,54.04,0.4012,15758803,16826581,6923.409,7133.891,14057.3,13.728,6309000,2.492,0.222813,1.2317,0.0012,,,,,,,,Successfully connected to device.
SAPL6B540G01,cisco_ios,FCW2236C08G,C9300-24P,10.60.100.11,Jebel Ali,44,9,35,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/18, GigabitEthernet1/0/22, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3024,5640,53.62,0.5547,8267854,8365808,5072.487,5095.953,10168.44,9.93,6030000,1.803,0.168631,1.222,0.0012,,,,,,,,Successfully connected to device.
ADM.242MTC.GF.A-ASW.3,cisco_ios,FCW2233C0KC,C9300-48U,10.30.100.10,Jebel Ali,264,59,205,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/23, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/28, GigabitEthernet1/0/31, GigabitEthernet1/0/37, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/7, GigabitEthernet2/0/8, GigabitEthernet2/0/11, GigabitEthernet2/0/13, GigabitEthernet2/0/19, GigabitEthernet2/0/21, GigabitEthernet2/0/25, GigabitEthernet2/0/29, GigabitEthernet2/0/36, GigabitEthernet2/0/37, GigabitEthernet2/0/38, GigabitEthernet2/0/41, GigabitEthernet2/0/43, GigabitEthernet2/0/47, AppGigabitEthernet2/0/1, GigabitEthernet3/0/11, GigabitEthernet3/0/12, GigabitEthernet3/0/43, GigabitEthernet3/0/48, TenGigabitEthernet3/1/1, AppGigabitEthernet3/0/1, GigabitEthernet4/0/27, GigabitEthernet4/0/28, GigabitEthernet4/0/29, GigabitEthernet4/0/30, GigabitEthernet4/0/33, GigabitEthernet4/0/38, GigabitEthernet4/0/40, GigabitEthernet4/0/41, GigabitEthernet4/0/42, GigabitEthernet4/0/44, GigabitEthernet4/0/45, GigabitEthernet4/0/46, GigabitEthernet4/0/48, AppGigabitEthernet4/0/1, Port-channel10","2 Virtual, 208 Gigabit, 32 TenGigabit, 8 TwentyFiveGigabit, 8 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-1100WAC,4400,12477,23328,53.49,0.1484,140391113,206151601,100768.956,56478.673,157247.63,153.562,42777000,6.741,0.367599,5.042,0.005,,,,,,,,Successfully connected to device.
ADM_IT_PORCAB_GF_ASW_1,cisco_ios,FCW2233L0FQ,C9300-48U,10.30.100.68,Jebel Ali,199,30,169,48,"Vlan100, GigabitEthernet1/0/6, GigabitEthernet1/0/23, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/32, GigabitEthernet1/0/38, GigabitEthernet1/0/47, AppGigabitEthernet1/0/1, GigabitEthernet2/0/6, GigabitEthernet2/0/9, GigabitEthernet2/0/18, GigabitEthernet2/0/23, GigabitEthernet2/0/26, GigabitEthernet2/0/34, GigabitEthernet2/0/35, GigabitEthernet2/0/38, GigabitEthernet2/0/41, GigabitEthernet2/0/46, GigabitEthernet2/0/47, GigabitEthernet2/0/48, TenGigabitEthernet2/1/1, AppGigabitEthernet2/0/1, GigabitEthernet3/0/1, GigabitEthernet3/0/14, GigabitEthernet3/0/17, GigabitEthernet3/0/46, TenGigabitEthernet3/1/1, AppGigabitEthernet3/0/1, Port-channel1","2 Virtual, 156 Gigabit, 24 TenGigabit, 6 TwentyFiveGigabit, 6 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-1100WAC,4400,9359,17496,53.49,0.0717,185834173,209385550,145957.073,97954.099,243911.172,238.195,23490000,13.941,1.038362,3.782,0.0038,,,,,,,,Successfully connected to device.
SACH2NGARG01,cisco_ios,FCW2234G0SQ,C9300-24P,10.20.100.49,Jebel Ali,45,26,19,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,3015,5640,53.46,0.0475,107754073,78073862,74423.487,44350.24,118773.727,115.99,18018000,21.059,0.659195,1.2184,0.0012,,,,,,,,Successfully connected to device.
SAKILNSFS11,cisco_ios,FCW2234G131,C9300-24P,10.30.100.114,Jebel Ali,127,51,76,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/3, GigabitEthernet2/0/4, GigabitEthernet2/0/5, GigabitEthernet2/0/6, GigabitEthernet2/0/8, GigabitEthernet2/0/9, GigabitEthernet2/0/10, GigabitEthernet2/0/11, GigabitEthernet2/0/12, GigabitEthernet2/0/14, GigabitEthernet2/0/15, GigabitEthernet2/0/16, GigabitEthernet2/0/21, GigabitEthernet2/0/23, AppGigabitEthernet2/0/1, GigabitEthernet3/0/1, GigabitEthernet3/0/2, GigabitEthernet3/0/5, GigabitEthernet3/0/10, GigabitEthernet3/0/16, GigabitEthernet3/0/18, GigabitEthernet3/0/19, GigabitEthernet3/0/20, GigabitEthernet3/0/21, GigabitEthernet3/0/22, GigabitEthernet3/0/23, GigabitEthernet3/0/24, TenGigabitEthernet3/1/1, AppGigabitEthernet3/0/1, Port-channel1","2 Virtual, 84 Gigabit, 24 TenGigabit, 6 TwentyFiveGigabit, 6 FortyGigabit",TRUE,3,1,Standalone,Power sharing,4,"Unknown,PWR-C1-715WAC",2145,9024,16920,53.33,0.1353,117834786,93000886,74957.076,50063.08,125020.157,122.09,37278000,7.389,0.335372,3.6466,0.0036,,,,,,,,Successfully connected to device.
SABLD420PLANG01,cisco_ios,FOC2234Z0KF,C9300-24P,10.70.100.15,Jebel Ali,45,21,24,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/22, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3002,5640,53.23,0.1202,43382395,38836142,28023.368,18917.426,46940.795,45.841,16029000,8.323,0.292849,1.2131,0.0012,,,,,,,,Successfully connected to device.
SAPL21BLD524G01,cisco_ios,FCW2236D09P,C9300-24P,10.60.100.57,Jebel Ali,85,28,57,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, GigabitEthernet2/0/3, GigabitEthernet2/0/4, GigabitEthernet2/0/5, GigabitEthernet2/0/6, GigabitEthernet2/0/7, AppGigabitEthernet2/0/1","2 Virtual, 56 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,3,1,Standalone,Power sharing,4,"Unknown,PWR-C1-715WAC",2145,6000,11280,53.19,0.1596,65838090,68015696,35193.195,35468.304,70661.499,69.005,18027000,6.264,0.391976,2.4246,0.0024,,,,,,,,Successfully connected to device.
SAPL6BLD580G01,cisco_ios,FCW2236E08C,C9300-24P,10.60.100.12,Jebel Ali,44,15,29,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3000,5640,53.19,0.0902,55316884,61539150,28815.099,33737.523,62552.622,61.087,11349000,11.091,0.551173,1.2123,0.0012,,,,,,,,Successfully connected to device.
